,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),WEST ZONE:Zone Air Temperature [C](TimeStep),EAST ZONE:Zone Air Temperature [C](TimeStep),WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)
149, 01/07  06:00:00,8.3,113638.4268762324,18.779436377895017,33.0697538873382,34.65219565678228,19.673389,19.038774,3.442691,3.33176725
150, 01/07  07:00:00,7.8,137777.1112890206,22.76849976637152,35.57096121957896,37.25128331290553,18.634945,17.965542,3.3193105000000003,3.202607
151, 01/07  08:00:00,8.9,135403.4903278355,22.37624456669014,35.53756855999969,37.26762451467539,18.711511,18.023013,3.2733324999999995,3.1544187500000005
152, 01/07  09:00:00,8.9,160020.49385962478,26.444353078462782,38.58340817220876,40.42676202036452,17.477938,16.745856,3.13325725,3.0058575
153, 01/07  10:00:00,10.0,161458.0731690084,26.68192174181775,38.6583067642227,40.54173496209484,17.456922,16.717022,3.056769,2.9281482500000005
154, 01/07  11:00:00,7.8,161205.22504017907,26.640137061413892,38.784401164738,40.65394822485864,17.383321,16.630314,3.046048,2.9136637500000004
155, 01/07  12:00:00,7.8,156143.63651263237,25.803678987001504,38.74116414907439,40.65717680252888,17.408058,16.647023,3.044713,2.91294525
156, 01/07  13:00:00,8.9,160406.9474073408,26.508216861267957,38.92090696788367,40.82394682389948,17.353824,16.588818,3.0416525000000005,2.9073775
157, 01/07  14:00:00,8.9,160161.8256620484,26.467709012408243,39.00412157297894,40.90869656282751,17.295376,16.536038,3.0292845,2.8963885000000005
158, 01/07  15:00:00,10.0,154413.35371226803,25.517739303934636,38.95669660141844,40.8936802444527,17.317101,16.543844,3.0289475,2.8946317500000003
159, 01/07  16:00:00,9.4,162142.87169799677,26.79508883467816,38.94524084100836,40.862509541760026,17.31225,16.54224,3.029858,2.89457675
160, 01/07  17:00:00,8.9,154522.91391526122,25.5358447891848,38.83025574334916,40.7407010448846,17.364273,16.60028,3.03518925,2.9013162500000003
161, 01/07  18:00:00,8.3,155582.97067386948,25.71102557091916,38.830319498643526,40.73736583280146,17.370241,16.606549,3.03985175,2.9061362500000003
162, 01/07  19:00:00,7.8,134746.2646427742,22.26763405281908,36.2517413896863,38.06327964237061,18.360679,17.634044,3.1505304999999995,3.02246325
163, 01/07  20:00:00,7.2,140472.91165490274,23.21399705853069,36.50476174801285,38.2372626654634,18.32116,17.620989,3.2152505,3.0908935
164, 01/07  21:00:00,6.7,139527.5685355339,23.05777339851115,36.34665411895668,38.0896235451842,18.338944,17.651509,3.2045475000000003,3.08445525
165, 01/07  22:00:00,6.7,138003.47787775326,22.805908212335098,36.30336366618494,38.05859470158755,18.37987,17.673929,3.2154765,3.09233875
166, 01/07  23:00:00,6.1,141000.61190721893,23.30120271235204,36.3262680399051,38.067889288739366,18.370288,17.674632,3.2155055,3.09335275
